#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Replicons,Scaffolds,Release Date
"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","Bacteria;Proteobacteria;delta/epsilon subdivisions","NCTC 11168","SAMEA1705929","PRJNA8","GCA_000009085.1","Complete","chromosome:NC_002163.1/AL111168.1",1,"2001-09-27T00:00:00Z"
"Xanthomonas campestris pv. raphani","Bacteria;Proteobacteria;Gammaproteobacteria","MAFF106181","SAMN15347475","PRJNA641237","GCA_013388375.1","Complete","chromosome:NZ_CP058243.1/CP058243.1",1,"2020-07-04T00:00:00Z"
"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","Bacteria;Proteobacteria;Gammaproteobacteria","LT2","SAMN02604315","PRJNA241","GCA_000006945.2","Complete","chromosome:NC_003197.2/AE006468.2; plasmid pSLT:NC_003277.2/AE006471.2",2,"2001-10-26T00:00:00Z"
"Yersinia pestis A1122","Bacteria;Proteobacteria;Gammaproteobacteria","A1122","SAMN02603531","PRJNA67155","GCA_000222975.1","Complete","chromosome:NC_017168.1/CP002956.1; plasmid unnamed:NC_017169.1/CP002957.1; plasmid unnamed2:NC_017170.1/CP002958.1",3,"2011-08-05T00:00:00Z"
"Staphylococcus aureus subsp. aureus NCTC 8325","Bacteria;Terrabacteria group;Firmicutes","NCTC 8325","SAMN02604235","PRJNA237","GCA_000013425.1","Complete","chromosome:NC_007795.1/CP000253.1",1,"2006-02-13T00:00:00Z"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","ATCC 14990","SAMN10738425","PRJNA515334","GCA_006094375.1","Complete","chromosome:NZ_CP035288.1/CP035288.1; plasmid unnamed1:NZ_CP035289.1/CP035289.1; plasmid unnamed2:NZ_CP035290.1/CP035290.1",3,"2019-06-06T00:00:00Z"
"Bacillus cereus B4264","Bacteria;Terrabacteria group;Firmicutes","B4264","SAMN02604059","PRJNA17731","GCA_000021205.1","Complete","chromosome:NC_011725.1/CP001176.1",1,"2008-12-17T00:00:00Z"
"Clostridium perfringens ATCC 13124","Bacteria;Terrabacteria group;Firmicutes","ATCC 13124","SAMN02604008","PRJNA304","GCA_000013285.1","Complete","chromosome:NC_008261.1/CP000246.1",1,"2006-07-25T00:00:00Z"
"Listeria monocytogenes EGD-e","Bacteria;Terrabacteria group;Firmicutes","EGD-e","SAMEA3138329","PRJNA276","GCA_000196035.1","Complete","chromosome:NC_003210.1/AL591824.1",1,"2001-11-08T00:00:00Z"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","OCU464","SAMN03013888","PRJNA259922","GCA_001865635.4","Complete","chromosome:NZ_CP009360.4/CP009360.4; plasmid p18K:NZ_CP009406.2/CP009406.2; plasmid p78K:NZ_CP009405.2/CP009405.2",3,"2016-11-03T00:00:00Z"
"Tropheryma whipplei str. Twist","Bacteria;Terrabacteria group;Actinobacteria","Twist","SAMN02603248","PRJNA95","GCA_000007485.1","Complete","chromosome:NC_004572.3/AE014184.1",1,"2003-02-24T00:00:00Z"
"Actinobacillus pleuropneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","S4074","SAMN09519162","PRJNA478521","GCA_003290385.1","Complete","chromosome:NZ_CP030753.1/CP030753.1",1,"2018-07-08T00:00:00Z"
"Prochlorococcus marinus subsp. marinus str. CCMP1375","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","CCMP1375; SS120","SAMN02603142","PRJNA419","GCA_000007925.1","Complete","chromosome:NC_005042.1/AE017126.1",1,"2003-07-25T00:00:00Z"
"Haemophilus influenzae","Bacteria;Proteobacteria;Gammaproteobacteria","Hi375","SAMN03093440","PRJNA263041","GCA_000767075.1","Complete","chromosome:NZ_CP009610.1/CP009610.1",1,"2014-10-16T00:00:00Z"
"Mycobacterium tuberculosis H37Rv","Bacteria;Terrabacteria group;Actinobacteria","H37Rv","SAMEA3138326","PRJNA224","GCA_000195955.2","Complete","chromosome:NC_000962.3/AL123456.3",1,"2001-09-07T00:00:00Z"
"Escherichia coli str. K-12 substr. MG1655","Bacteria;Proteobacteria;Gammaproteobacteria","K-12 substr. MG1655","SAMN02604091","PRJNA225","GCA_000005845.2","Complete","chromosome:NC_000913.3/U00096.3",1,"1998-10-13T00:00:00Z"
"Helicobacter pylori Puno135","Bacteria;Proteobacteria;delta/epsilon subdivisions","Puno135","SAMN02604321","PRJNA69919","GCA_000224555.1","Complete","chromosome:NC_017379.1/CP002982.1",1,"2011-08-26T00:00:00Z"
"Buchnera aphidicola str. Bp (Baizongia pistaciae)","Bacteria;Proteobacteria;Gammaproteobacteria","Bp (Baizongia pistaciae)","SAMN02604289","PRJNA256","GCA_000007725.1","Complete","chromosome:NC_004545.1/AE016826.1; plasmid pBBp1:NC_004555.1/AF492591.1",2,"2003-01-27T00:00:00Z"
"Chlamydia pneumoniae TW-183","Bacteria;PVC group;Chlamydiae","TW-183","SAMN02602979","PRJNA420","GCA_000007205.1","Complete","chromosome:NC_005043.1/AE009440.1",1,"2003-07-25T00:00:00Z"
"Neisseria meningitidis","Bacteria;Proteobacteria;Betaproteobacteria","11-7","SAMN07137410","PRJNA386981","GCA_008330805.1","Complete","chromosome:NZ_CP021520.1/CP021520.1",1,"2019-09-09T00:00:00Z"
"Xylella fastidiosa Temecula1","Bacteria;Proteobacteria;Gammaproteobacteria","Temecula1","SAMN02603844","PRJNA285","GCA_000007245.1","Complete","chromosome:NC_004556.1/AE009442.1; plasmid pXFPD1.3:NC_004554.1/AE009443.1",2,"2003-01-29T00:00:00Z"
"Pseudomonas putida NBRC 14164","Bacteria;Proteobacteria;Gammaproteobacteria","NBRC 14164","SAMD00061028","PRJDB191","GCA_000412675.1","Complete","chromosome:NC_021505.1/AP013070.1",1,"2013-06-14T23:09:00Z"
"Streptococcus pyogenes","Bacteria;Terrabacteria group;Firmicutes","NGAS638","SAMN03274510","PRJNA243328","GCA_001267845.1","Complete","chromosome:NZ_CP010450.1/CP010450.1",1,"2015-08-17T00:00:00Z"
"Agrobacterium tumefaciens","Bacteria;Proteobacteria;Alphaproteobacteria","12D1","SAMN10169604","PRJNA494485","GCA_003667905.1","Complete","chromosome circular:NZ_CP033031.1/CP033031.1; chromosome linear:NZ_CP033032.1/CP033032.1; plasmid pAt12D1:CP033033.1; plasmid pTi12D1:NZ_CP033033.1/",3,"2018-10-21T00:00:00Z"
"Leptospira interrogans serovar Copenhageni","Bacteria;Spirochaetes;Spirochaetia","FDAARGOS_203","SAMN04875540","PRJNA231221","GCA_002073495.2","Complete","chromosome:NZ_CP020414.2/CP020414.2; plasmid unnamed1:NZ_CP020413.2/CP020413.2",2,"2017-03-29T00:00:00Z"
"Fusobacterium nucleatum subsp. polymorphum","Bacteria;Fusobacteria;Fusobacteriia","NCTC10562","SAMEA2479572","PRJEB6403","GCA_001457555.1","Complete","chromosome 1:NZ_LN831027.1/LN831027.1; plasmid 2:NZ_LN831028.1/LN831028.1",2,"2015-03-22T00:00:00Z"
"Bacillus anthracis str. 'Ames Ancestor'","Bacteria;Terrabacteria group;Firmicutes","Ames Ancestor; A2084","SAMN02603433","PRJNA10784","GCA_000008445.1","Complete","chromosome:NC_007530.2/AE017334.2; plasmid pXO1:NC_007322.2/AE017336.2; plasmid pXO2:NC_007323.3/AE017335.3",3,"2004-05-19T00:00:00Z"
"Shigella flexneri 2a str. 301","Bacteria;Proteobacteria;Gammaproteobacteria","301","SAMN02603599","PRJNA310","GCA_000006925.2","Complete","chromosome:NC_004337.2/AE005674.2; plasmid pCP301:NC_004851.1/AF386526.1",2,"2002-10-16T00:00:00Z"
"Bifidobacterium longum","Bacteria;Terrabacteria group;Actinobacteria","51A","SAMN08457432","PRJNA432691","GCA_004936435.1","Complete","chromosome:NZ_CP026999.1/CP026999.1",1,"2019-04-30T00:00:00Z"
"Histophilus somni","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-63368","SAMN06141917","PRJNA281531","GCA_002162215.1","Complete","chromosome:NZ_CP018804.1/CP018804.1",1,"2017-05-31T00:00:00Z"
"Streptococcus agalactiae","Bacteria;Terrabacteria group;Firmicutes","NCTC13949","SAMEA104210798","PRJEB6403","GCA_900638415.1","Complete","chromosome 1:NZ_LR134512.1/LR134512.1",1,"2018-12-19T00:00:00Z"
"Pseudomonas aeruginosa PAO1","Bacteria;Proteobacteria;Gammaproteobacteria","PAO1","SAMN02603714","PRJNA331","GCA_000006765.1","Complete","chromosome:NC_002516.2/AE004091.2",1,"2000-05-16T00:00:00Z"
